Date,Biden,Kamala Harris,Trump,Obama,Pelosi,Kevin McCarthy,Schumer,McConnell,Congress,Senate,Stimulus,Infrastructure,Cuomo,DeSantis,Abortion,Immigration,Tax,National Debt
2021-05-18,258,178,218.0,,,,,,240.0,,,320.0,133.0,124.0,147.0,258.0,142.0,44.0
2021-05-19,571,651,602.0,,,,,,496.0,,,471.0,553.0,462.0,509.0,509.0,480.0,411.0
2021-05-20,638,558,604.0,,,,,,473.0,,,562.0,458.0,484.0,538.0,473.0,444.0,569.0
2021-05-21,551,513,638.0,,,,,,533.0,,,460.0,542.0,424.0,478.0,489.0,500.0,476.0
2021-05-22,356,271,400.0,,,,,,373.0,,,262.0,213.0,382.0,169.0,249.0,329.0,204.0
2021-05-23,342,116,320.0,,,,,,209.0,,,342.0,164.0,151.0,204.0,311.0,236.0,53.0
2021-05-24,360,58,351.0,,,,,,320.0,,,342.0,240.0,107.0,151.0,316.0,213.0,480.0
2021-05-25,378,84,324.0,,,,,,307.0,,,596.0,276.0,320.0,160.0,142.0,244.0,227.0
2021-05-26,444,138,271.0,,,,,,347.0,,,351.0,142.0,191.0,138.0,253.0,307.0,116.0
2021-05-27,338,253,302.0,,,,,,356.0,,,427.0,213.0,271.0,213.0,280.0,289.0,62.0
2021-05-28,293,267,258.0,,,,,,267.0,,,240.0,258.0,204.0,169.0,209.0,129.0,147.0
2021-05-29,320,596,244.0,,,,,,218.0,,,129.0,333.0,262.0,147.0,213.0,156.0,133.0
2021-05-30,551,387,562.0,,,,,,509.0,,,493.0,458.0,527.0,507.0,536.0,553.0,462.0
2021-05-31,476,569,356.0,,,,,,351.0,,,351.0,160.0,187.0,173.0,213.0,204.0,253.0
2021-06-01,536,391,569.0,,,,,,691.0,,,564.0,533.0,680.0,478.0,493.0,487.0,502.0
2021-06-02,596,471,518.0,,,,,,580.0,,,627.0,684.0,496.0,516.0,564.0,509.0,567.0
2021-06-03,333,333,280.0,,,,,,302.0,,,342.0,453.0,267.0,53.0,302.0,240.0,102.0
2021-06-04,364,253,293.0,,,,,,191.0,,,364.0,320.0,178.0,124.0,298.0,169.0,267.0
2021-06-05,622,576,611.0,,,,,,533.0,,,633.0,498.0,420.0,482.0,598.0,491.0,469.0
2021-06-06,458,280,360.0,,,,,,236.0,,,356.0,191.0,311.0,173.0,240.0,160.0,369.0
2021-06-07,342,240,307.0,,,,,,320.0,,,449.0,129.0,271.0,142.0,289.0,147.0,364.0
2021-06-08,387,169,302.0,,,,,,338.0,,,307.0,320.0,271.0,276.0,116.0,262.0,289.0
2021-06-09,749,636,613.0,,,,,,538.0,,,513.0,438.0,364.0,509.0,547.0,509.0,422.0
2021-06-10,576,680,611.0,,,,,,562.0,,,518.0,544.0,498.0,456.0,556.0,511.0,584.0
2021-06-11,400,320,329.0,,,,,,356.0,,,480.0,507.0,302.0,196.0,182.0,302.0,231.0
